,player_aces_frequency,player_double_fault_frequency,player_serve_won_frequency,player_points_won_frequency,player_completeness,player_advantage_on_serve,original_match_idx,nb_common_opponents,Sipko_uncertainty,Leo_uncertainty
178,"0,003484109","0,003091762","0,034943299","0,088508251","0,098427852","0,069886598",802,1,"0,658043427",5
179,"0,001928247","-0,012266559","-0,065644103","-0,105579899","-0,124012224","-0,131288206",805,2,"0,386648362","2,5"
180,"0,008118826","0,019262863","0,014583518","0,000824551","0,025074614","0,029167035",810,2,"0,675455239","2,5"
181,"0,01702525","0,045546703","-0,140066719","-0,162889317","-0,154147454","-0,280133438",811,2,"0,645348705","2,5"
182,"0,082352941","-0,059943978","0,10140056","0,045548654","0,018091447","0,20280112",818,1,"1,445932295",5
183,"0,048800939","0,033707865","-0,009055844","-0,010748689","-0,039263264","-0,018111689",819,1,"1,418140036",5
184,"-0,011471619","-0,016599469","-0,068285323","-0,001249391","0,018934564","-0,136570645",820,3,"0,335280209","1,666666667"
185,"-0,091241309","-0,026869929","-0,087130109","-0,05493214","-0,018385996","-0,174260217",824,2,"0,628834682","2,5"
186,"0,04910352","-0,004197281","-0,159576159","-0,134570239","-0,113114336","-0,319152318",825,1,"0,62084389",5
187,"-0,064365971","0,009149278","-0,044462279","-0,033602217","-0,038566611","-0,088924559",826,1,"1,304954948",5
188,"-0,034870077","0,026813757","-0,098609098","-0,048253647","-0,02600468","-0,197218196",828,2,"0,708793981","2,5"
189,"-0,061497286","0,013495021","0,059747074","0,08952895","0,10258644","0,119494148",829,1,"0,230725914","1,119636295"
190,"0,068036346","-0,007857028","0,089036139","0,050466747","0,042211799","0,178072278",830,2,"0,655982077","2,5"
191,"0,058118187","-0,023121056","0,057831325","0,051487904","0,023524926","0,115662651",832,1,"1,32317144",5
192,"0,099494949","-0,023484848","0,058333333","0,018102134","0,037657563","0,116666667",833,1,"1,426025717",5
193,"0,007155635","-0,027280859","-0,202593918","-0,043678161","-0,023578529","-0,405187835",835,1,"1,108032348",5
194,"0,027911473","-0,019041765","0,06848657","0,091048792","0,078020519","0,136973141",836,2,"0,624825264","2,5"
195,"-0,008046237","0,067038444","-0,158160869","-0,108559624","-0,101140573","-0,316321739",839,2,"0,708677741","2,5"
196,"-0,018654577","-0,008534374","0,082688048","0,11772917","0,172611519","0,165376097",840,2,"0,344458437","2,5"
197,"0,07347957","0,022655262","-0,0103854","0,051274723","0,084174794","-0,0207708",841,2,"0,592696473","2,5"
198,"0,032503705","0,023194092","-0,005804312","-0,022644582","-0,034285847","-0,011608624",843,2,"0,715323717","2,5"
199,"-0,006875","-0,01125","0,053125","0,083904181","0,114024141","0,10625",844,1,"1,437936533",5
200,"-0,028988648","-0,02869992","0,092029605","0,105621631","0,120710661","0,184059209",845,4,"0,263726823","1,25"
